Start Date,First Sold Date,Last Sold Date,Total ETH Sold,Total Retrieved USD,Initial Investment,ROI,Hold Value at End,ROI Hold
2020-01-01,2020-01-08,2020-04-08,14,2585.18,1834.2800000000002,40.93704341758072,2363.9,28.87345443443748
2020-01-02,2020-01-09,2020-04-09,14,2561.5400000000004,1804.4599999999998,41.956042250867334,2386.16,32.23679106214602
2020-01-03,2020-01-10,2020-04-10,14,2559.6999999999994,1827.2800000000002,40.08252703471822,2281.02,24.83144345694145
2020-01-04,2020-01-11,2020-04-11,14,2580.38,1883.7000000000003,36.98465785422306,2215.22,17.599405425492353
2020-01-05,2020-01-12,2020-04-12,14,2546.75,1921.2199999999998,32.558998969404875,2245.8799999999997,16.89863732420024
2020-01-06,2020-01-13,2020-04-13,14,2528.5799999999995,1962.7999999999997,28.825147748114926,2186.52,11.398002853067062
2020-01-07,2020-01-14,2020-04-14,14,2583.85,1998.5,29.28946710032524,2217.74,10.970227670753054
2020-01-08,2020-01-15,2020-04-15,14,2599.3899999999994,1995.7000000000003,30.24953650348244,2194.64,9.968432129077495
2020-01-09,2020-01-16,2020-04-16,14,2584.4799999999996,1943.48,32.98207339411775,2264.64,16.524996398213506
2020-01-10,2020-01-17,2020-04-17,14,2591.87,1957.76,32.389567669172926,2408.14,23.004862700228827
2020-01-11,2020-01-18,2020-04-18,14,2615.82,2020.76,29.44733664561849,2516.92,24.553138423167525
2020-01-12,2020-01-19,2020-04-19,14,2586.4300000000003,2022.02,27.91317593297793,2577.54,27.47351658242747
2020-01-13,2020-01-20,2020-04-20,14,2561.9299999999994,2027.8999999999999,26.334138764238844,2494.7999999999997,23.023817742492227
2020-01-14,2020-01-21,2020-04-21,14,2600.8499999999995,2182.1800000000003,19.185860011548044,2420.1800000000003,10.906524667992556
2020-01-15,2020-01-22,2020-04-22,14,2611.41,2320.78,12.52294487198268,2489.06,7.251010436146456
2020-01-16,2020-01-23,2020-04-23,14,2605.8100000000004,2287.3199999999997,13.924155780564185,2585.94,13.055453543885436
2020-01-17,2020-01-24,2020-04-24,14,2611.6699999999996,2350.8799999999997,11.093292724426599,2628.08,11.791329204383052
2020-01-18,2020-01-25,2020-04-25,14,2635.7900000000004,2417.24,9.04130330459535,2696.8199999999997,11.566083632572683
2020-01-19,2020-01-26,2020-04-26,14,2613.03,2386.44,9.49489616332278,2758.84,15.60483397864602
2020-01-20,2020-01-27,2020-04-27,14,2592.709999999999,2320.08,11.750887900417192,2751.0,18.57349746560464
2020-01-21,2020-01-28,2020-04-28,14,2629.81,2350.04,11.90490374631921,2755.48,17.25247229834386
2020-01-22,2020-01-29,2020-04-29,14,2650.8100000000004,2364.46,12.110587618314558,2916.06,23.32879388951388
2020-01-23,2020-01-30,2020-04-30,14,2658.4900000000002,2300.2000000000003,15.576471611164244,3037.72,32.0632988435788
2020-01-24,2020-01-31,2020-05-01,14,2663.8399999999997,2247.42,18.528801915084834,2977.7999999999997,32.49859839282375
2020-01-25,2020-02-01,2020-05-02,14,2689.2200000000003,2253.02,19.360680331288684,3001.04,33.20077052134469
2020-01-26,2020-02-02,2020-05-03,14,2662.76,2299.5,15.797347249402053,2995.72,30.277016742770158
2020-01-27,2020-02-03,2020-05-04,14,2628.24,2378.74,10.488746142915998,2876.16,20.911070566770647
2020-01-28,2020-02-04,2020-05-05,14,2664.1600000000003,2429.7000000000003,9.649750998065604,2910.6,19.7925669835782
2020-01-29,2020-02-05,2020-05-06,14,2681.6499999999996,2477.2999999999997,8.248900012109955,2909.06,17.42865216162759
2020-01-30,2020-02-06,2020-05-07,14,2687.4,2510.48,7.047257894904563,2915.22,16.122016506803472
2020-01-31,2020-02-07,2020-05-08,14,2695.5699999999997,2531.9,6.464315336308686,2976.1200000000003,17.544926734863157
2020-02-01,2020-02-08,2020-05-09,14,2719.33,2545.2000000000003,6.841505579129327,2966.74,16.562156215621542
2020-02-02,2020-02-09,2020-05-10,14,2673.26,2612.8199999999997,2.3132094824748934,2759.8199999999997,5.62610512779296
2020-02-03,2020-02-10,2020-05-11,14,2623.56,2670.08,-1.7422698945349944,2604.56,-2.4538590604026838
2020-02-04,2020-02-11,2020-05-12,14,2664.5500000000006,2635.64,1.096887283544064,2641.1,0.2071603102092864
2020-02-05,2020-02-12,2020-05-13,14,2678.5299999999997,2768.92,-3.2644496771304454,2725.24,-1.5775103650520885
2020-02-06,2020-02-13,2020-05-14,14,2679.6400000000003,2915.5,-8.089864517235453,2806.86,-3.7262905162064786
2020-02-07,2020-02-14,2020-05-15,14,2676.5099999999998,3048.08,-12.190296842602562,2781.24,-8.754363402535372
2020-02-08,2020-02-15,2020-05-16,14,2696.9799999999996,3093.86,-12.827988338192437,2780.96,-10.113579799990953
2020-02-09,2020-02-16,2020-05-17,14,2651.4700000000003,3169.8799999999997,-16.354246848461123,2864.8199999999997,-9.623708152990018
2020-02-10,2020-02-17,2020-05-18,14,2611.4399999999996,3130.8199999999997,-16.58926415443878,2961.14,-5.4196664132719174
2020-02-11,2020-02-18,2020-05-19,14,2649.3399999999997,3186.1200000000003,-16.847450817922756,2973.1800000000003,-6.683364091747958
2020-02-12,2020-02-19,2020-05-20,14,2635.7299999999996,3558.1,-25.92310502796437,2958.9,-16.840448554003537
2020-02-13,2020-02-20,2020-05-21,14,2615.8,3728.62,-29.845358336328182,2834.86,-23.970262456351136
2020-02-14,2020-02-21,2020-05-22,14,2605.92,3834.7400000000002,-32.04441500597172,2846.48,-25.77123872804936
2020-02-15,2020-02-22,2020-05-23,14,2629.12,3859.7999999999997,-31.884553603813664,2909.76,-24.613710554951023
2020-02-16,2020-02-23,2020-05-24,14,2600.2700000000004,3607.52,-27.920843127688816,2890.72,-19.86960571251165
2020-02-17,2020-02-24,2020-05-25,14,2559.3500000000004,3578.4,-28.477811312318345,2849.14,-20.379499217527393
2020-02-18,2020-02-25,2020-05-26,14,2580.0199999999995,3812.62,-32.329474219827844,2842.14,-25.454411926706573
2020-02-19,2020-02-26,2020-05-27,14,2569.3999999999996,3803.0999999999995,-32.43932581315243,2874.48,-24.417448923246813
2020-02-20,2020-02-27,2020-05-28,14,2571.74,3602.48,-28.611956207945642,2985.64,-17.122648841908912
2020-02-21,2020-02-28,2020-05-29,14,2565.8,3658.9000000000005,-29.875099073492038,3097.22,-15.351061794528428
2020-02-22,2020-02-29,2020-05-30,14,2597.8100000000004,3677.0999999999995,-29.351662995295186,3238.76,-11.920807157814563
2020-02-23,2020-03-01,2020-05-31,14,2569.4600000000005,3750.04,-31.48179752749303,3318.7000000000003,-11.502277309042029
2020-02-24,2020-03-02,2020-06-01,14,2531.1300000000006,3746.12,-32.433290978398965,3351.04,-10.546378653113086
2020-02-25,2020-03-03,2020-06-02,14,2566.5900000000006,3586.0999999999995,-28.42949164830872,3398.08,-5.243021666991984
2020-02-26,2020-03-04,2020-06-03,14,2573.7600000000007,3296.44,-21.923044253801052,3357.48,1.8516945553384851
2020-02-27,2020-03-05,2020-06-04,14,2588.14,3149.2999999999997,-17.81856285523767,3378.9,7.290509002000458
2020-02-28,2020-03-06,2020-06-05,14,2584.5299999999997,3153.92,-18.053406554383127,3416.14,8.31409801136363
2020-02-29,2020-03-07,2020-06-06,14,2614.6100000000006,3164.7000000000003,-17.382058330963428,3399.9,7.431984074319835
2020-03-01,2020-03-08,2020-06-07,14,2589.9400000000005,3085.6,-16.063650505574262,3372.3199999999997,9.292196007259522
2020-03-02,2020-03-09,2020-06-08,14,2550.1700000000005,3150.7000000000003,-19.06020884247944,3417.26,8.460342146189733
2020-03-03,2020-03-10,2020-06-09,14,2584.9,3178.42,-18.673428936389776,3434.76,8.065013434347888
2020-03-04,2020-03-11,2020-06-10,14,2594.4400000000005,3150.84,-17.65878305467747,3440.36,9.188660801564026
