Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of Asset,ROI
2023-01-01,2023-04-02,2023-04-09,0.8937009003353864,1400,1654.13312241276,18.152365886625716
2023-01-02,2023-04-03,2023-04-10,0.889940975166033,1400,1675.5185721743453,19.679898012453236
2023-01-03,2023-04-04,2023-04-11,0.8841181179560071,1400,1690.106717828242,20.721908416302995
2023-01-04,2023-04-05,2023-04-12,0.8780403670803506,1400,1663.8513740025812,18.846526714470087
2023-01-05,2023-04-06,2023-04-13,0.8732592978656405,1400,1713.3434750053652,22.38167678609752
2023-01-06,2023-04-07,2023-04-14,0.8780815297404336,1400,1816.6716576952804,29.7622612639486
2023-01-07,2023-04-08,2023-04-15,0.8706140917203631,1400,1822.883079103179,30.20593422165564
2023-01-08,2023-04-09,2023-04-16,0.8642693402123995,1400,1821.1364975351555,30.08117839536825
2023-01-09,2023-04-10,2023-04-17,0.8602423439935512,1400,1799.2656818500316,28.518977275002257
2023-01-10,2023-04-11,2023-04-18,0.8540089701960928,1400,1784.5286040320536,27.466328859432405
2023-01-11,2023-04-12,2023-04-19,0.85010102791929,1400,1714.4157450253906,22.458267501813616
2023-01-12,2023-04-13,2023-04-20,0.8443469389076073,1400,1645.5055318900904,17.536109420720745
2023-01-13,2023-04-14,2023-04-21,0.8468667280359583,1400,1602.034726760183,14.431051911441648
2023-01-14,2023-04-15,2023-04-22,0.8394122514448445,1400,1566.6118731165423,11.900848079753018
2023-01-15,2023-04-16,2023-04-23,0.8332211555156248,1400,1550.2996141639267,10.73568672599476
2023-01-16,2023-04-17,2023-04-24,0.8319733279143049,1400,1539.142336908185,9.938738350584638
2023-01-17,2023-04-18,2023-04-25,0.8267134415724937,1400,1522.3101313115899,8.736437950827849
2023-01-18,2023-04-19,2023-04-26,0.8259271259879752,1400,1550.6946975849432,10.763906970353089
2023-01-19,2023-04-20,2023-04-27,0.8245025999289785,1400,1566.5961649950555,11.899726071075388
2023-01-20,2023-04-21,2023-04-28,0.8299376977516574,1400,1576.6741413037112,12.619581521693654
2023-01-21,2023-04-22,2023-04-29,0.8266524781000057,1400,1572.689806535699,12.334986181121362
2023-01-22,2023-04-23,2023-04-30,0.8219863342897767,1400,1568.0786703345784,12.005619309612744
2023-01-23,2023-04-24,2023-05-01,0.8219993992678245,1400,1518.8082900271593,8.486306430511377
2023-01-24,2023-04-25,2023-05-02,0.8174742231659641,1400,1513.994960272292,8.142497162306572
2023-01-25,2023-04-26,2023-05-03,0.8149116091135102,1400,1532.5961141436876,9.4711510102634
2023-01-26,2023-04-27,2023-05-04,0.8120362557051428,1400,1536.5756048580565,9.755400347004036
2023-01-27,2023-04-28,2023-05-05,0.820169812403735,1400,1589.2266420984693,13.516188721319233
2023-01-28,2023-04-29,2023-05-06,0.8186277478418327,1400,1591.47783202435,13.676988001739282
2023-01-29,2023-04-30,2023-05-07,0.813246092936001,1400,1548.0464677473954,10.574747696242525
2023-01-30,2023-05-01,2023-05-08,0.8145656105388747,1400,1508.8280260572628,7.77343043266163
