Start Date,First Sold Date,Last Sold Date,Total ETH Sold,Total Retrieved USD,Initial Investment,ROI
2020-01-01,2020-01-08,2020-04-08,14,2585.18,1834.2800000000002,40.93704341758072
2020-01-02,2020-01-09,2020-04-09,14,2561.5400000000004,1804.4599999999998,41.956042250867334
2020-01-03,2020-01-10,2020-04-10,14,2559.6999999999994,1827.2800000000002,40.08252703471822
2020-01-04,2020-01-11,2020-04-11,14,2580.38,1883.7000000000003,36.98465785422306
2020-01-05,2020-01-12,2020-04-12,14,2546.75,1921.2199999999998,32.558998969404875
2020-01-06,2020-01-13,2020-04-13,14,2528.5799999999995,1962.7999999999997,28.825147748114926
2020-01-07,2020-01-14,2020-04-14,14,2583.85,1998.5,29.28946710032524
2020-01-08,2020-01-15,2020-04-15,14,2599.3899999999994,1995.7000000000003,30.24953650348244
2020-01-09,2020-01-16,2020-04-16,14,2584.4799999999996,1943.48,32.98207339411775
2020-01-10,2020-01-17,2020-04-17,14,2591.87,1957.76,32.389567669172926
2020-01-11,2020-01-18,2020-04-18,14,2615.82,2020.76,29.44733664561849
2020-01-12,2020-01-19,2020-04-19,14,2586.4300000000003,2022.02,27.91317593297793
2020-01-13,2020-01-20,2020-04-20,14,2561.9299999999994,2027.8999999999999,26.334138764238844
2020-01-14,2020-01-21,2020-04-21,14,2600.8499999999995,2182.1800000000003,19.185860011548044
2020-01-15,2020-01-22,2020-04-22,14,2611.41,2320.78,12.52294487198268
2020-01-16,2020-01-23,2020-04-23,14,2605.8100000000004,2287.3199999999997,13.924155780564185
2020-01-17,2020-01-24,2020-04-24,14,2611.6699999999996,2350.8799999999997,11.093292724426599
2020-01-18,2020-01-25,2020-04-25,14,2635.7900000000004,2417.24,9.04130330459535
2020-01-19,2020-01-26,2020-04-26,14,2613.03,2386.44,9.49489616332278
2020-01-20,2020-01-27,2020-04-27,14,2592.709999999999,2320.08,11.750887900417192
2020-01-21,2020-01-28,2020-04-28,14,2629.81,2350.04,11.90490374631921
2020-01-22,2020-01-29,2020-04-29,14,2650.8100000000004,2364.46,12.110587618314558
2020-01-23,2020-01-30,2020-04-30,14,2658.4900000000002,2300.2000000000003,15.576471611164244
2020-01-24,2020-01-31,2020-05-01,14,2663.8399999999997,2247.42,18.528801915084834
2020-01-25,2020-02-01,2020-05-02,14,2689.2200000000003,2253.02,19.360680331288684
2020-01-26,2020-02-02,2020-05-03,14,2662.76,2299.5,15.797347249402053
2020-01-27,2020-02-03,2020-05-04,14,2628.24,2378.74,10.488746142915998
2020-01-28,2020-02-04,2020-05-05,14,2664.1600000000003,2429.7000000000003,9.649750998065604
2020-01-29,2020-02-05,2020-05-06,14,2681.6499999999996,2477.2999999999997,8.248900012109955
2020-01-30,2020-02-06,2020-05-07,14,2687.4,2510.48,7.047257894904563
2020-01-31,2020-02-07,2020-05-08,14,2695.5699999999997,2531.9,6.464315336308686
2020-02-01,2020-02-08,2020-05-09,14,2719.33,2545.2000000000003,6.841505579129327
2020-02-02,2020-02-09,2020-05-10,14,2673.26,2612.8199999999997,2.3132094824748934
2020-02-03,2020-02-10,2020-05-11,14,2623.56,2670.08,-1.7422698945349944
2020-02-04,2020-02-11,2020-05-12,14,2664.5500000000006,2635.64,1.096887283544064
2020-02-05,2020-02-12,2020-05-13,14,2678.5299999999997,2768.92,-3.2644496771304454
2020-02-06,2020-02-13,2020-05-14,14,2679.6400000000003,2915.5,-8.089864517235453
2020-02-07,2020-02-14,2020-05-15,14,2676.5099999999998,3048.08,-12.190296842602562
2020-02-08,2020-02-15,2020-05-16,14,2696.9799999999996,3093.86,-12.827988338192437
2020-02-09,2020-02-16,2020-05-17,14,2651.4700000000003,3169.8799999999997,-16.354246848461123
2020-02-10,2020-02-17,2020-05-18,14,2611.4399999999996,3130.8199999999997,-16.58926415443878
2020-02-11,2020-02-18,2020-05-19,14,2649.3399999999997,3186.1200000000003,-16.847450817922756
2020-02-12,2020-02-19,2020-05-20,14,2635.7299999999996,3558.1,-25.92310502796437
2020-02-13,2020-02-20,2020-05-21,14,2615.8,3728.62,-29.845358336328182
2020-02-14,2020-02-21,2020-05-22,14,2605.92,3834.7400000000002,-32.04441500597172
2020-02-15,2020-02-22,2020-05-23,14,2629.12,3859.7999999999997,-31.884553603813664
2020-02-16,2020-02-23,2020-05-24,14,2600.2700000000004,3607.52,-27.920843127688816
2020-02-17,2020-02-24,2020-05-25,14,2559.3500000000004,3578.4,-28.477811312318345
2020-02-18,2020-02-25,2020-05-26,14,2580.0199999999995,3812.62,-32.329474219827844
2020-02-19,2020-02-26,2020-05-27,14,2569.3999999999996,3803.0999999999995,-32.43932581315243
2020-02-20,2020-02-27,2020-05-28,14,2571.74,3602.48,-28.611956207945642
2020-02-21,2020-02-28,2020-05-29,14,2565.8,3658.9000000000005,-29.875099073492038
2020-02-22,2020-02-29,2020-05-30,14,2597.8100000000004,3677.0999999999995,-29.351662995295186
2020-02-23,2020-03-01,2020-05-31,14,2569.4600000000005,3750.04,-31.48179752749303
2020-02-24,2020-03-02,2020-06-01,14,2531.1300000000006,3746.12,-32.433290978398965
2020-02-25,2020-03-03,2020-06-02,14,2566.5900000000006,3586.0999999999995,-28.42949164830872
2020-02-26,2020-03-04,2020-06-03,14,2573.7600000000007,3296.44,-21.923044253801052
2020-02-27,2020-03-05,2020-06-04,14,2588.14,3149.2999999999997,-17.81856285523767
2020-02-28,2020-03-06,2020-06-05,14,2584.5299999999997,3153.92,-18.053406554383127
2020-02-29,2020-03-07,2020-06-06,14,2614.6100000000006,3164.7000000000003,-17.382058330963428
2020-03-01,2020-03-08,2020-06-07,14,2589.9400000000005,3085.6,-16.063650505574262
2020-03-02,2020-03-09,2020-06-08,14,2550.1700000000005,3150.7000000000003,-19.06020884247944
2020-03-03,2020-03-10,2020-06-09,14,2584.9,3178.42,-18.673428936389776
2020-03-04,2020-03-11,2020-06-10,14,2594.4400000000005,3150.84,-17.65878305467747
2020-03-05,2020-03-12,2020-06-11,14,2598.56,3213.0,-19.123560535325243
2020-03-06,2020-03-13,2020-06-12,14,2582.88,3306.1,-21.875321375638965
2020-03-07,2020-03-14,2020-06-13,14,2608.39,3412.64,-23.566798724740963
2020-03-08,2020-03-15,2020-06-14,14,2606.7800000000007,3068.66,-15.051520859267537
2020-03-09,2020-03-16,2020-06-15,14,2578.05,2798.04,-7.862289316807472
2020-03-10,2020-03-17,2020-06-16,14,2615.42,2826.46,-7.466583641728521
2020-03-11,2020-03-18,2020-06-17,14,2633.43,2711.24,-2.8699045455216043
2020-03-12,2020-03-19,2020-06-18,14,2677.1400000000003,2144.52,24.83632701024007
2020-03-13,2020-03-20,2020-06-19,14,2696.0399999999995,1628.3400000000001,65.56984413574556
2020-03-14,2020-03-21,2020-06-20,14,2708.9799999999996,1798.2999999999997,50.641161096591226
2020-03-15,2020-03-22,2020-06-21,14,2710.16,1778.7,52.36745938044638
2020-03-16,2020-03-23,2020-06-22,14,2699.3300000000004,1611.12,67.54369631064108
2020-03-17,2020-03-24,2020-06-23,14,2743.03,1605.8,70.82015194918424
2020-03-18,2020-03-25,2020-06-24,14,2760.2099999999996,1594.32,73.12772843594759
2020-03-19,2020-03-26,2020-06-25,14,2782.69,1786.82,55.73420937755343
2020-03-20,2020-03-27,2020-06-26,14,2790.89,1914.2199999999998,45.797766191973764
2020-03-21,2020-03-28,2020-06-27,14,2803.94,1841.98,52.22423696239916
2020-03-22,2020-03-29,2020-06-28,14,2804.67,1813.42,54.66190954108811
2020-03-23,2020-03-30,2020-06-29,14,2797.02,1797.4599999999998,55.60958241073516
2020-03-24,2020-03-31,2020-06-30,14,2832.6200000000003,1925.8400000000001,47.08490840360571
2020-03-25,2020-04-01,2020-07-01,14,2851.16,1929.8999999999999,47.736152132234835
2020-03-26,2020-04-02,2020-07-02,14,2874.7599999999993,1916.0400000000002,50.03653368405665
2020-03-27,2020-04-03,2020-07-03,14,2881.24,1916.8799999999999,50.30883519051792
2020-03-28,2020-04-04,2020-07-04,14,2901.03,1827.0,58.7865353037767
2020-03-29,2020-04-05,2020-07-05,14,2903.56,1796.3400000000001,61.637551911108126
2020-03-30,2020-04-06,2020-07-06,14,2902.0,1814.3999999999999,59.94268077601412
2020-03-31,2020-04-07,2020-07-07,14,2938.1099999999997,1861.44,57.84070397111911
2020-04-01,2020-04-08,2020-07-08,14,2961.8299999999995,1857.52,59.450773073775764
2020-04-02,2020-04-09,2020-07-09,14,2977.1,1977.6399999999999,50.53801500778706
2020-04-03,2020-04-10,2020-07-10,14,2977.7899999999995,2005.6399999999999,48.470812309287794
2020-04-04,2020-04-11,2020-07-11,14,2998.21,1998.5,50.023017262947214
2020-04-05,2020-04-12,2020-07-12,14,2999.9799999999996,2017.68,48.68462788945717
2020-04-06,2020-04-13,2020-07-13,14,2986.8599999999997,2189.74,36.40249527341145
2020-04-07,2020-04-14,2020-07-14,14,3008.31,2375.7999999999997,26.623032241771206
2020-04-08,2020-04-15,2020-07-15,14,3032.2299999999996,2363.9,28.272346545962158
2020-04-09,2020-04-16,2020-07-16,14,3041.9699999999993,2386.16,27.483907198176126
2020-04-10,2020-04-17,2020-07-17,14,3048.12,2281.02,33.629691979903725
2020-04-11,2020-04-18,2020-07-18,14,3074.41,2215.22,38.78576394218182
2020-04-12,2020-04-19,2020-07-19,14,3075.7799999999993,2245.8799999999997,36.95210785972535
2020-04-13,2020-04-20,2020-07-20,14,3067.89,2186.52,40.30925854782942
2020-04-14,2020-04-21,2020-07-21,14,3090.83,2217.74,39.368456176107216
2020-04-15,2020-04-22,2020-07-22,14,3128.2000000000003,2194.64,42.53818393905153
2020-04-16,2020-04-23,2020-07-23,14,3149.5299999999997,2264.64,39.074201639112616
2020-04-17,2020-04-24,2020-07-24,14,3153.83,2408.14,30.965392377519585
2020-04-18,2020-04-25,2020-07-25,14,3187.5099999999998,2516.92,26.643278292516236
2020-04-19,2020-04-26,2020-07-26,14,3199.9999999999995,2577.54,24.14938274478765
2020-04-20,2020-04-27,2020-07-27,14,3209.87,2494.7999999999997,28.662417829084507
2020-04-21,2020-04-28,2020-07-28,14,3234.7699999999995,2420.1800000000003,33.65824029617628
2020-04-22,2020-04-29,2020-07-29,14,3269.1600000000003,2489.06,31.341148867443952
2020-04-23,2020-04-30,2020-07-30,14,3292.01,2585.94,27.30419112585753
2020-04-24,2020-05-01,2020-07-31,14,3305.0900000000006,2628.08,25.760631335423607
2020-04-25,2020-05-02,2020-08-01,14,3361.0999999999995,2696.8199999999997,24.631973954509377
2020-04-26,2020-05-03,2020-08-02,14,3387.1299999999997,2758.84,22.773701990691723
2020-04-27,2020-05-04,2020-08-03,14,3396.29,2751.0,23.45656125045438
2020-04-28,2020-05-05,2020-08-04,14,3429.79,2755.48,24.471598414795242
2020-04-29,2020-05-06,2020-08-05,14,3457.13,2916.06,18.554830833384777
2020-04-30,2020-05-07,2020-08-06,14,3473.07,3037.72,14.331472288426857
2020-05-01,2020-05-08,2020-08-07,14,3475.48,2977.7999999999997,16.713009604405947
2020-05-02,2020-05-09,2020-08-08,14,3532.41,3001.04,17.706195185668967
2020-05-03,2020-05-10,2020-08-09,14,3565.9300000000003,2995.72,19.03415539503026
2020-05-04,2020-05-11,2020-08-10,14,3586.06,2876.16,24.682215175789946
2020-05-05,2020-05-12,2020-08-11,14,3606.56,2910.6,23.9112210540782
2020-05-06,2020-05-13,2020-08-12,14,3628.96,2909.06,24.746825435020252
2020-05-07,2020-05-14,2020-08-13,14,3671.15,2915.22,25.93046150890843
