Start Date,First Sold Date,Last Sold Date,Total ETH Sold,Total Retrieved USD,Initial Investment,ROI
2023-01-01,2023-01-08,2023-04-09,14,22870.83,16774.52,36.34267925401145
2023-01-02,2023-01-09,2023-04-10,14,22947.54,16905.559999999998,35.73960282889182
2023-01-03,2023-01-10,2023-04-11,14,23124.690000000002,16986.059999999998,36.139222397660234
2023-01-04,2023-01-11,2023-04-12,14,23223.129999999997,17345.86,33.88284005520624
2023-01-05,2023-01-12,2023-04-13,14,23388.46,17526.18,33.44870359656239
2023-01-06,2023-01-13,2023-04-14,14,23370.96,17599.12,32.796185263808646
2023-01-07,2023-01-14,2023-04-15,14,23559.550000000007,17730.02,32.87943273611652
2023-01-08,2023-01-15,2023-04-16,14,23704.18,17833.059999999998,32.92267283349018
2023-01-09,2023-01-16,2023-04-17,14,23724.71,18401.74,28.926449346637856
2023-01-10,2023-01-17,2023-04-18,14,23883.64,18628.960000000003,28.207049668902588
2023-01-11,2023-01-18,2023-04-19,14,23884.090000000004,18980.64,25.83395501943035
2023-01-12,2023-01-19,2023-04-20,14,23931.959999999995,19674.899999999998,21.63700959090007
2023-01-13,2023-01-20,2023-04-21,14,23829.83,20059.899999999998,18.793363875193815
2023-01-14,2023-01-21,2023-04-22,14,23918.510000000002,21103.039999999997,13.341537522556015
2023-01-15,2023-01-22,2023-04-23,14,24025.87,21544.88,11.51545053859663
2023-01-16,2023-01-23,2023-04-24,14,24012.890000000003,21865.34,9.821708695131212
2023-01-17,2023-01-24,2023-04-25,14,24151.37,22031.38,9.622592865267622
2023-01-18,2023-01-25,2023-04-26,14,24205.850000000002,21780.64,11.134704948982229
2023-01-19,2023-01-26,2023-04-27,14,24295.829999999994,21506.52,12.969601776577495
2023-01-20,2023-01-27,2023-04-28,14,24127.18,22433.600000000002,7.54930104842735
2023-01-21,2023-01-28,2023-04-29,14,24170.49,23107.0,4.602458129571133
2023-01-22,2023-01-29,2023-04-30,14,24298.489999999998,22890.7,6.150052204607099
2023-01-23,2023-01-30,2023-05-01,14,24236.03,22743.84,6.560853400305308
2023-01-24,2023-01-31,2023-05-02,14,24407.850000000002,22337.84,9.266831528921337
2023-01-25,2023-02-01,2023-05-03,14,24505.02,22141.28,10.675715225136043
2023-01-26,2023-02-02,2023-05-04,14,24581.679999999997,22489.600000000002,9.302433124644255
2023-01-27,2023-02-03,2023-05-05,14,24473.74,22275.68,9.86753266342487
2023-01-28,2023-02-04,2023-05-06,14,24529.519999999997,22190.7,10.539640480020891
2023-01-29,2023-02-05,2023-05-07,14,24590.68,22558.899999999998,9.006556170735287
2023-01-30,2023-02-06,2023-05-08,14,24491.680000000004,22353.24,9.566577373123549
2023-01-31,2023-02-07,2023-05-09,14,24673.480000000003,22136.24,11.461928493727939
2023-02-01,2023-02-08,2023-05-10,14,24740.46,22481.059999999998,10.050237844656799
2023-02-02,2023-02-09,2023-05-11,14,24717.100000000002,23420.460000000003,5.536355818801165
2023-02-03,2023-02-10,2023-05-12,14,24598.69,23134.440000000002,6.329308165661223
2023-02-04,2023-02-11,2023-05-13,14,24662.649999999998,23367.960000000003,5.540449401659344
2023-02-05,2023-02-12,2023-05-14,14,24754.960000000006,23017.12,7.550206107453962
2023-02-06,2023-02-13,2023-05-15,14,24675.780000000002,22855.28,7.9653366749390235
2023-02-07,2023-02-14,2023-05-16,14,24843.250000000004,23020.62,7.91738015744148
2023-02-08,2023-02-15,2023-05-17,14,24889.670000000002,23266.600000000002,6.975965547179216
2023-02-09,2023-02-16,2023-05-18,14,24923.71,22346.940000000002,11.53075096635153
2023-02-10,2023-02-17,2023-05-19,14,24881.420000000002,21407.12,16.22964695858202
2023-02-11,2023-02-18,2023-05-20,14,24955.44,21360.36,16.83061521435031
2023-02-12,2023-02-19,2023-05-21,14,25045.380000000005,21329.14,17.423299767360547
2023-02-13,2023-02-20,2023-05-22,14,24988.36,20963.32,19.20039383074819
2023-02-14,2023-02-21,2023-05-23,14,25156.460000000003,21414.539999999997,17.473735135099826
2023-02-15,2023-02-22,2023-05-24,14,25097.289999999997,22539.86,11.346255034414574
2023-02-16,2023-02-23,2023-05-25,14,25027.920000000002,23596.58,6.065879038403023
2023-02-17,2023-02-24,2023-05-26,14,25023.08,23470.72,6.614028031521831
2023-02-18,2023-02-25,2023-05-27,14,25087.79,23722.86,5.75364859043134
2023-02-19,2023-02-26,2023-05-28,14,25219.550000000003,23750.02,6.18748952632462
2023-02-20,2023-02-27,2023-05-29,14,25203.219999999998,23630.460000000003,6.655646991213859
2023-02-21,2023-02-28,2023-05-30,14,25378.37,23496.76,8.007955139346874
