Date,Price
2017-01-01,8.43
2017-01-02,8.27
2017-01-03,9.06
2017-01-04,10.87
2017-01-05,9.76
2017-01-06,9.62
2017-01-07,9.84
2017-01-08,9.92
2017-01-09,10.48
2017-01-10,10.46
2017-01-11,9.42
2017-01-12,9.94
2017-01-13,9.77
2017-01-14,9.61
2017-01-15,9.79
2017-01-16,9.66
2017-01-17,10.31
2017-01-18,10.03
2017-01-19,10.27
2017-01-20,10.56
2017-01-21,10.74
2017-01-22,10.81
2017-01-23,10.73
2017-01-24,10.51
2017-01-25,10.56
2017-01-26,10.6
2017-01-27,10.53
2017-01-28,10.5
2017-01-29,10.44
2017-01-30,10.6
2017-01-31,10.87
2017-02-01,10.75
2017-02-02,10.75
2017-02-03,10.75
2017-02-04,11.14
2017-02-05,11.2
2017-02-06,11.26
2017-02-07,11.41
2017-02-08,11.36
2017-02-09,10.73
2017-02-10,11.29
2017-02-11,11.4
2017-02-12,11.27
2017-02-13,11.29
2017-02-14,12.69
2017-02-15,13.16
2017-02-16,12.85
2017-02-17,12.76
2017-02-18,12.65
2017-02-19,12.74
2017-02-20,12.72
2017-02-21,12.82
2017-02-22,12.68
2017-02-23,12.97
2017-02-24,13.01
2017-02-25,13.18
2017-02-26,14.01
2017-02-27,15.2
2017-02-28,15.97
2017-03-01,16.67
2017-03-02,18.11
2017-03-03,19.44
2017-03-04,19.38
2017-03-05,18.75
2017-03-06,19.65
2017-03-07,19.17
2017-03-08,17.72
2017-03-09,17.04
2017-03-10,18.13
2017-03-11,20.18
2017-03-12,22.51
2017-03-13,27.17
2017-03-14,28.4
2017-03-15,31.82
2017-03-16,40.66
2017-03-17,44.72
2017-03-18,37.94
2017-03-19,39.48
2017-03-20,43.22
2017-03-21,42.74
2017-03-22,40.75
2017-03-23,42.43
2017-03-24,48.26
2017-03-25,52.09
2017-03-26,49.71
2017-03-27,51.71
2017-03-28,50.15
2017-03-29,52.03
2017-03-30,52.5
2017-03-31,49.53
2017-04-01,50.2
2017-04-02,46.01
2017-04-03,46.42
2017-04-04,43.43
2017-04-05,46.01
2017-04-06,43.95
2017-04-07,43.09
2017-04-08,45.32
2017-04-09,44.08
